year,Lindas
1910,95
1911,79
1912,145
1913,187
1914,153
1915,246
1916,241
1917,237
1918,269
1919,216
1920,304
1921,327
1922,336
1923,384
1924,418
1925,402
1926,448
1927,481
1928,520
1929,468
1930,449
1931,487
1932,747
1933,753
1934,977
1935,1178
1936,2431
1937,4374
1938,7040
1939,10713
1940,18390
1941,23742
1942,31678
1943,38538
1944,38472
1945,41512
1946,52769
1947,99849
1948,96355
1949,91123
1950,80496
1951,74061
1952,67155
1953,61347
1954,55441
1955,51353
1956,48135
1957,44567
1958,41936
1959,40486
1960,37373
1961,35614
1962,31495
1963,27762
1964,23682
1965,19354
1966,15582
1967,13197
1968,11376
1969,10251
1970,8735
1971,7374
1972,5745
1973,4730
1974,4071
1975,3521
1976,3135
1977,2905
1978,2924
1979,2728
1980,2802
1981,2714
1982,2788
1983,2477
1984,2317
1985,2102
1986,1953
1987,1903
1988,1822
1989,1824
1990,1633
1991,1583
1992,1567
1993,1459
1994,1262
1995,1209
1996,943
1997,1072
1998,941
1999,861
2000,819
2001,811
2002,749
2003,718
2004,697
2005,721
2006,666
2007,633
2008,585
2009,513
2010,439
2011,441
2012,382
2013,397
2014,421
2015,379
2016,386
2017,356
2018,359
2019,295
2020,275
